,Title,Published_date,Views,Likes,duration,Comments,durationSecs,Month
120,Become A Crypto MILLIONAIRE | Cryptocurrencies For Beginners - Explained | BeerBiceps,2021-10-19,111356,7870,PT12M36S,1161,756.0,Oct
121,"Taapsee Pannu's Unstoppable Drive For Career, Success & Work-Life Balance | The Ranveer Show 146",2021-10-15,389868,18183,PT55M55S,1690,3355.0,Oct
122,3 ICONIC Books That Changed My Life ft. Ranveer Allahbadia | Book Recommendations 2021 | BeerBiceps,2021-10-12,325315,17356,PT5M26S,428,326.0,Oct
123,The History You WISH You Were Taught In School ft. Abhijit Chavda | The Ranveer Show 145,2021-10-08,523263,24719,PT41M23S,1865,2483.0,Oct
124,ALIENS And The Mystery Of BLACK HOLES Explained ft. Abhi & Niyu | The Ranveer Show,2021-10-05,541845,31151,PT9M13S,809,553.0,Oct
125,Unspoken Story Of Kargil War - Colonel Krishnan Srinivasan | Shershaah | The Ranveer Show 144,2021-10-01,340340,12484,PT50M54S,566,3054.0,Oct
126,8 Successful People Explain How To Beat Self-Doubt Like A Warrior | The Ranveer Show,2021-09-28,204347,12791,PT14M45S,359,885.0,Sep
127,"Truths About Hinduism - Black Magic, Rebirth & Ghosts ft. Devdutt Pattanaik | The Ranveer Show 143",2021-09-24,371525,13206,PT1H15M24S,2398,4524.0,Sep
128,THIS IS HOW He Made A Local Company Global ft. Marico Founder Harsh Mariwala | The Ranveer Show 142,2021-09-21,113812,5400,PT36M50S,241,2210.0,Sep
129,10 S*x Life Enhancing Techniques You Wish You Knew Earlier | The Ranveer Show 141,2021-09-17,908853,52706,PT24M11S,1259,1451.0,Sep
130,Radhika Gupta’s Inspiring Story! | Heart to Heart - Honest Conversation | The Ranveer Show,2021-09-14,59892,2923,PT7M29S,200,449.0,Sep
131,My HONEST Spiritual Journey (Part 2) - BeerBiceps True Story | The Ranveer Show 140,2021-09-10,272158,15491,PT22M43S,1195,1363.0,Sep
132,My HONEST Spiritual Journey (Part 1) - BeerBiceps True Story | The Ranveer Show 139,2021-09-07,540210,26322,PT27M24S,2538,1644.0,Sep
133,How I Became A Start-Up Investor In America ft. Kavita Gupta | The Ranveer Show 138,2021-09-03,174790,5267,PT1H37M27S,384,5847.0,Sep
134,Major Gaurav Arya - Truth About India Vs. Pakistan and China | The Ranveer Show 137,2021-08-31,931969,48413,PT31M59S,2954,1919.0,Aug
135,“I’ve Seen Things NOBODY Has Ever Seen Before” - Adventurer Devang Thapliyal | The Ranveer Show 136,2021-08-27,1694258,57712,PT1H37M1S,1760,5821.0,Aug
