,Title,Published_date,Views,Likes,Comments,Month
117,The INSANE LIFE Of Shalini Vadhera | Ready Set Jet | The Ranveer Show 148,2021-10-29,79497,2865,175,Oct
118,What Dying Feels Like & How To Prepare For It ft. Gauranga Das | Garud Puran | The Ranveer Show,2021-10-26,160024,9842,483,Oct
119,Brain Hacks For Money & Growth With Neurologist Dr. Sid Warrier | The Ranveer Show 147,2021-10-22,1086907,47690,1361,Oct
120,Become A Crypto MILLIONAIRE | Cryptocurrencies For Beginners - Explained | BeerBiceps,2021-10-19,111332,7869,1161,Oct
121,"Taapsee Pannu's Unstoppable Drive For Career, Success & Work-Life Balance | The Ranveer Show 146",2021-10-15,389575,18171,1690,Oct
122,3 ICONIC Books That Changed My Life ft. Ranveer Allahbadia | Book Recommendations 2021 | BeerBiceps,2021-10-12,325005,17349,427,Oct
123,The History You WISH You Were Taught In School ft. Abhijit Chavda | The Ranveer Show 145,2021-10-08,522570,24699,1865,Oct
124,ALIENS And The Mystery Of BLACK HOLES Explained ft. Abhi & Niyu | The Ranveer Show,2021-10-05,541568,31146,809,Oct
125,Unspoken Story Of Kargil War - Colonel Krishnan Srinivasan | Shershaah | The Ranveer Show 144,2021-10-01,339666,12469,566,Oct
126,8 Successful People Explain How To Beat Self-Doubt Like A Warrior | The Ranveer Show,2021-09-28,204222,12787,361,Sep
127,"Truths About Hinduism - Black Magic, Rebirth & Ghosts ft. Devdutt Pattanaik | The Ranveer Show 143",2021-09-24,371121,13196,2397,Sep
128,THIS IS HOW He Made A Local Company Global ft. Marico Founder Harsh Mariwala | The Ranveer Show 142,2021-09-21,113791,5400,241,Sep
129,10 S*x Life Enhancing Techniques You Wish You Knew Earlier | The Ranveer Show 141,2021-09-17,907225,52645,1253,Sep
130,Radhika Gupta’s Inspiring Story! | Heart to Heart - Honest Conversation | The Ranveer Show,2021-09-14,59878,2923,200,Sep
131,My HONEST Spiritual Journey (Part 2) - BeerBiceps True Story | The Ranveer Show 140,2021-09-10,271758,15468,1194,Sep
132,My HONEST Spiritual Journey (Part 1) - BeerBiceps True Story | The Ranveer Show 139,2021-09-07,539271,26297,2538,Sep
133,How I Became A Start-Up Investor In America ft. Kavita Gupta | The Ranveer Show 138,2021-09-03,174772,5266,384,Sep
134,Major Gaurav Arya - Truth About India Vs. Pakistan and China | The Ranveer Show 137,2021-08-31,930624,48376,2951,Aug
135,“I’ve Seen Things NOBODY Has Ever Seen Before” - Adventurer Devang Thapliyal | The Ranveer Show 136,2021-08-27,1692254,57682,1760,Aug
136,This Monk Will Teach You 1000 Year-Old Brain Hacks ft. Dandapani | The Ranveer Show 135,2021-08-24,615691,25753,1487,Aug
137,"Man Made Virus, Intention behind it, Modern Wars & More ft. Rajiv Malhotra | The Ranveer Show 134",2021-08-20,558941,19667,2442,Aug
138,"Why We QUIT Non-Veg? - Tamannaah Bhatia, Shilpa Shetty, Fittuber, BeerBiceps | The Ranveer Show",2021-08-17,348271,17702,1174,Aug
139,The Special Forces - Mindset and Attitude | The Indian Army | Major Vivek Jacob | The Ranveer Show,2021-08-14,535011,33620,572,Aug
140,He Made My Income Boom - HERE'S HOW ft. Dr. Radhakrishnan Pillai | Chanakya | The Ranveer Show 133,2021-08-13,175094,7685,331,Aug
141,Real STORIES From Special Forces Of The Indian Army ft. Colonel Subin | The Ranveer Show 132,2021-08-10,777889,26866,1187,Aug
142,Sandeep Nailwal On Cryptocurrency & Blockchain | MATIC Founder Polygon | The Ranveer Show 131,2021-08-06,464036,13905,3518,Aug
143,"Startup Growth Hacks, Products, Gaming Industry and more ft. Ryan Hoover | The Ranveer Show 130",2021-08-03,65656,3531,207,Aug
144,Neuroscientist Explains Scary Secrets Of Your Brain | Dr. Baland Jalal | The Ranveer Show 129,2021-07-30,645581,22222,1148,Jul
145,Gauranga Das - Secrets Of The Universe In The Bhagavad Gita | The Ranveer Show 128,2021-07-27,395886,16707,1405,Jul
146,Life-Changing Conversation With The Legendary Monk - Gauranga Das | The Ranveer Show 127,2021-07-23,1139061,42320,2445,Jul
147,Kunal Shah Of Indian Unicorn - CRED On Start-Ups & Productivity Hacks | The Ranveer Show 126,2021-07-20,544379,19642,1279,Jul
148,"Farhan Akhtar on Film Making process, Warrior Mindset, Creativity & Fitness | The Ranveer Show 125",2021-07-16,250824,15604,1598,Jul
149,The BIG Secret To Winning At Life - Explained For Teenagers | Spirituality | The Ranveer Show,2021-07-13,373994,23857,513,Jul
150,"6 Years Of BeerBiceps - Anger, Arrogance & Trauma | The Ranveer Show 124",2021-07-09,105448,6664,466,Jul
151,"Grant Cardone’s life story | Sales, Bravery & A Winner’s Mindset | The Ranveer Show 123",2021-07-06,109307,7506,735,Jul
152,"India, China Or USA? Who's The Next Superpower? Abhijit Chavda On GeoPolitics | The Ranveer Show 122",2021-07-02,716031,27656,3158,Jul
