,Title,Published_date,Views,Likes,duration,Comments,durationSecs,Month
92,Don’t worry ❤️🙏 #shorts,2021-12-11,19017,1955,PT22S,18,22.0,Dec
93,Love this ❤️ #shorts,2021-12-09,10216,645,PT32S,12,32.0,Dec
94,This is so true ❤️ #shorts,2021-12-08,10003,664,PT52S,8,52.0,Dec
95,Liz Plosser ON: How to Create a Morning Routine That Works For You,2021-12-06,47217,1405,PT59M41S,116,3581.0,Dec
96,Justin Baldoni interviews Jay Shetty ON: Self-Compassion & Finding Your Purpose Through Service,2021-11-29,37408,1578,PT48M41S,89,2921.0,Nov
97,"Demi Lovato ON: Depression, Healing, & Finding Your Own Identity",2021-11-22,49474,1920,PT55M12S,200,3312.0,Nov
98,This is so true ❤️ #shorts,2021-11-16,14688,1311,PT33S,11,33.0,Nov
99,Michael Dell ON: Dreaming Bigger Than Your Goals & How to Play Nice But Win,2021-11-15,13030,380,PT38M56S,35,2336.0,Nov
100,Turn your jealousy into this ❤️ #shorts,2021-11-09,46016,4279,PT50S,34,50.0,Nov
101,"Robert Greene ON: The Laws of Mastery, Power and Human Nature & Harnessing Your Dark Side For Good",2021-11-08,304844,10810,PT1H28M48S,393,5328.0,Nov
102,What role are you playing today? 🤔 #shorts,2021-11-05,12687,923,PT42S,14,42.0,Nov
103,Everything is neutral 🙏 #shorts,2021-11-04,40574,3015,PT43S,23,43.0,Nov
104,There’s a difference ❤️ #shorts,2021-11-03,8967,587,PT25S,9,25.0,Nov
105,It comes from within 🙏 #shorts,2021-11-02,11978,880,PT38S,16,38.0,Nov
106,Maya Shankar ON: How to Embrace Change Gracefully & Find Purpose in Difficult Times,2021-11-01,78119,1918,PT1H24M35S,73,5075.0,Nov
107,Consistency is everything 💯 #shorts,2021-10-29,30803,2399,PT54S,17,54.0,Oct
108,"If you’re dissatisfied, watch this #shorts",2021-10-28,10837,716,PT24S,10,24.0,Oct
109,Logic ON: Stop Letting Your Past Define Your Future & How to Prioritize Your Mental Health,2021-10-25,96359,9209,PT1H3M34S,243,3814.0,Oct
110,Jane Goodall ON: Winning the War on Nature & How Simple Actions Make Big Changes,2021-10-18,25876,1064,PT56M44S,63,3404.0,Oct
111,Don’t do this to yourself ❤️ #shorts,2021-10-15,13552,706,PT14S,14,14.0,Oct
112,Empower yourself ❤️ #shorts,2021-10-14,9001,604,PT48S,7,48.0,Oct
113,Celebrate the little things ❤️ #shorts,2021-10-13,20178,2520,PT10S,14,10.0,Oct
114,So true 🙌 #shorts,2021-10-12,10610,638,PT16S,9,16.0,Oct
115,It would've been if it should've been ❤️ #shorts,2021-10-11,9873,546,PT12S,9,12.0,Oct
116,Ben Greenfield ON: How to Train Your Brain & Body for Optimal Sleep and Performance,2021-10-11,31715,904,PT1H14M20S,61,4460.0,Oct
117,It's about WHAT we're celebrating 🙌 #shorts,2021-10-09,20994,2528,PT28S,17,28.0,Oct
118,We're lost in a perception of a perception of ourselves 🤯 #shorts,2021-10-08,14851,944,PT15S,21,15.0,Oct
119,Speak it into existence 🙏 #shorts,2021-10-07,22010,1606,PT14S,17,14.0,Oct
120,Mel Robbins ON: Why You Can’t Stop Procrastinating & How to Eliminate Self-Doubt in 5 Seconds,2021-10-04,325428,11092,PT1H22M2S,433,4922.0,Oct
