,Title,Published_date,Views,Likes,duration,Comments,durationSecs,Month
73,"Get Control of Your UNCONCIOUS MIND, Change Your Behavior & MASTER Your Emotions | Leonard Mlodinow",2022-05-03,90331,2125,PT1H16M57S,137,4617.0,May
74,“Your BEHAVIOR Won’t Be The Same!” Master Dopamine For MOTIVATION & FOCUS | Dr. Andrew Huberman,2022-04-30,161990,4030,PT1H52M59S,244,6779.0,Apr
75,"Use The Power of HYPNOSIS to ENHANCE Your Health, Performance & FOCUS! | Dr. David Spiegel",2022-04-28,53500,1319,PT1H21S,226,3621.0,Apr
76,“People DON’T KNOW What’s Coming!” Prepare For The CHANGING WORLD ORDER | Ray Dalio,2022-04-26,2579960,43114,PT1H33M49S,6387,5629.0,Apr
77,"If You Feel LOST, LAZY, And UNMOTIVATED In Life, WATCH THIS! | David Goggins",2022-04-23,116512,4013,PT1H35M9S,410,5709.0,Apr
78,How To Achieve SUCCESS FASTER Than 99% Of People (START DOING THIS) | Tom Bilyeu,2022-04-21,194702,6146,PT1H7M4S,559,4024.0,Apr
79,Navy Seals Survival Story About Being AMBUSHED Will Leave You Speechless & Inspired | Jason Redman,2022-04-19,60488,1905,PT1H28M50S,223,5330.0,Apr
80,Warning: STOP EATING These Foods To Prevent Disease & LIVE LONGER | Dr. Steven Gundry,2022-04-16,77715,2085,PT1H13M50S,352,4430.0,Apr
81,The FUTURE of Recreational Drugs & Their POTENTIAL Could Change Your LIFE | David Nutt,2022-04-14,53871,1405,PT42M57S,435,2577.0,Apr
82,"Predict The FUTURE, Feel Ready for ANYTHING and Prepare for the World AHEAD | Jane McGonigal",2022-04-12,65303,1478,PT1H8M2S,205,4082.0,Apr
83,"Stop BEATING Yourself Up, Make BIG Changes, & Achieve Your Goals | Tom Bilyeu",2022-04-09,42334,1523,PT24M55S,263,1495.0,Apr
84,Project Kyzen’s FIRST CHARACTER REVEAL!,2022-04-07,14791,329,PT29S,81,29.0,Apr
85,"Follow Your PASSION, Gain FINANCIAL Stability, and Live a Life You LOVE | Tom Bilyeu",2022-04-07,46374,1722,PT31M23S,193,1883.0,Apr
86,"Believe In Yourself, Get Uncomfortable & Find PEACE | Dr. Mark Epstein",2022-04-05,124439,2751,PT1H27M29S,237,5249.0,Apr
87,"Change Your MINDSET, Embrace Change, and GROW Into Who You Want to BE",2022-04-02,58709,1815,PT42M56S,212,2576.0,Apr
88,"The DAILY HACKS To Improve Sleep, PREVENT DISEASE & Live Longer! | Roger Seheult",2022-03-31,86487,2190,PT58M38S,251,3518.0,Mar
89,Project Kyzen is HERE!,2022-03-30,21460,729,PT58S,164,58.0,Mar
90,"Kill Your EXCUSES, Discover Your Path & Live Life to the Fullest | Rich Roll",2022-03-29,125921,2866,PT1H38M19S,297,5899.0,Mar
91,"If You HATE YOUR JOB, This Is How You Can Create A PATH FORWARD | Tom Bilyeu",2022-03-26,60158,1902,PT30M1S,331,1801.0,Mar
92,"Get FOCUSED, Increase Productivity & Concentrate On WHAT MATTERS | Amishi Jha",2022-03-24,96473,2462,PT1H33M48S,289,5628.0,Mar
93,"How to Embrace CHANGE and Find PURPOSE with The USA's Most Decorated Winter Olympian, Apolo Ohno",2022-03-22,71216,1801,PT1H4M42S,159,3882.0,Mar
94,Learn About CRYPTO and How You Can Get Into NFTs from the Worlds Leading EXPERTS,2022-03-19,30084,1078,PT31M46S,453,1906.0,Mar
95,The #1 Tip To STOP GAINING Weight & Turn Your FAT STORAGE OFF! | Dr. Rick Johnson,2022-03-17,776620,15495,PT57M32S,1374,3452.0,Mar
